,year,district,aq
454,2000,Schwabing - Freimann,112.6
455,2000,Bogenhausen,137.5
456,2000,Berg am Laim,137.5
457,2000,Trudering - Riem,96.9
458,2000,Ramersdorf - Perlach,97.7
459,2000,Obergiesing - Fasangarten,142.9
460,2000,Untergiesing - Harlaching,183.2
461,2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,168.5
462,2000,Hadern,133.5
463,2000,Pasing - Obermenzing,123.7
464,2000,Aubing - Lochhausen - Langwied,107.7
465,2000,Allach - Untermenzing,120.5
466,2000,Feldmoching - Hasenbergl,110.3
467,2000,Laim,187.3
